Member Type,Name of Business or Organization,Product or Service,Address (Zip),Address,Business Phone,Business/Organization Website
Consumer Service,City Fresh Foods,Meal Service,02119,"77 Shirley Street, Roxbury, MA 02119",(617) 606-7123,cityfresh.com
Consumer Service,Drysdale's All-Natural Carpet Care,,,,617-242-9657,http://www.drysdales123.com/
Consumer Service,"Evergreen Delivery, LLC",Christmas tree delivery,02120," Boston, MA 02120",(617) 285-0826,https://evergreendelivery.bike/
Consumer Service,LochTree,"Ecommerce Site For Sustainable, Eco-Friendly, & Upcycle Products",,,(617) 302-6078,www.lochtree.com
Energy and Utilities,Boston Solar,Solar panel installation,01801,"55 Sixth Rd, Woburn, MA 01801",617-390-8792,www.bostonsolar.us/
Energy and Utilities,Green Energy Consumers Alliance,Clean energy education,02130,"284 Armory Street, Boston, MA 02130",1-800-287-3950,https://www.greenenergyconsumers.org/
Energy and Utilities,Natural Systems Utilities,Water treatment and reuse,08844,"170 Township Line Road, Building C, Hillsborough, NJ 08844",(908) 359-5501,https://www.nsuwater.com/
Financial Service,Balanced Rock Advisors,"Financial planning, wealth management",02131," Roslindale, MA 02131",(617) 971-8323,balancedrockinvestmentadvisors.com/
Financial Service,"Capital Management Partners, LLC",Retirement Plan Design - ESG/Socially Responsible Investments - open to Individuals as well,,,(978) 535-8989,www.cmpadvisors.com
Financial Service,Eastern Bank,,,,(800) 327-8376,www.easternbank.com
Financial Service,Natixis Investment Managers,Investment Capital,02199,"888 Boylston Street, Boston, MA 02199",(617) 449-2100,https://www.im.natixis.com/us/home
Financial Service,"Progressive Investor's Network, LLC",Wealth Management,02481,"47 River St Suite 100, Wellesley, MA 02481",(781) 239-1187,www.pinboston.com
Financial Service,Pythia Capital LLC,Investment Research Advisory and Private Direct Deal Service/Network,,,(347) 837-4899,www.pythiacap.com
Financial Service,Reinventure Capital,Investment capital,02130,"40A Orchardhill Road, Boston, MA 02130",(617) 480-2644,www.reinventurecapital.com
Financial Service,Social(k),Retirement Investing,,,,
Financial Service,Tech Networks of Boston,Nonprofit management,02127,"1 Wadleigh Place, South Boston, MA 02127",(617) 269-0299,https://techboston.com/
Food  Product,Levend Bakery,Bagels,02108,"100 Hanover Street, Boston, MA 02108",,https://www.levendbagelry.com/
Food  Product,Little Acre Gourmet Foods,Sauce,,,,https://littleacregourmet.com/
Food Delivery Service,Boston Organics,Produce & grocery home/office delivery,02129,"50 Terminal Street Building 2, Suite 105, Charlestown, MA 02129",(617) 242.1700,bostonorganics.com/
Food Delivery Service,Global Village Cuisine,African-inspired read-to-eat meals,,,,https://globalvillagecuisine.com/
Food Delivery Service,Indelish,Asian-inspired meal kits,,,(781) 244-4712,www.indelish.com
Food Product,"American vinegar Works, LLC",Vinegar,01850," Lowell, MA 01850",,www.americanvinegarworks.com/
Food Product,BeReal Doughs,Cookie Dough,02675,"231 Route 6A, Yarmouth Port, MA 02675",(508) 737-5379,berealdoughs.com/
Food Product,BOLA granola,granola,,,(413) 528-4745,www.bolagranola.com
Food Product,Cabot Creamery Co-operative,Creamery,05672,"193 Home Farm Way, Waitsfield, VT 05672",(888) 792-2268,www.cabotcheese.coop
Food Product,Cape Cod Coffee,"Coffee roaster
coffee cafe",02649,"348 Main St., Mashpee, MA 02649",(508) 477-2400,capecodcoffee.com/
Food Product,Copper Kettle Bakery,Baking goods,,,(617) 448-6400,https://copperkettlebakery.com/
Food Product,Curio Spice Company,Spices,02144,"45 Endicott Ave Unit 6, Somerville, MA 02144",(617) 851-3056,http://www.curiospice.com/
Food Product,Del Sur ,Argentine-style empanadas,,,,http://www.shareataste.info/
Food Product,Fungi Ally,"Mushroom education, products",01351," Montague, MA 01351",978-844-1811,https://fungially.com/
Food Product,Goodnow Farms Chocolate,Chocolate,01776,"80 Goodnow Road, Sudbury, MA 01776",,https://goodnowfarms.com/
Food Product,Hiewa Tofu,Organic tofu made from Northeast grown soybeans,04841,"201 West St, Rockport, ME 04841",(207) 236-8638,www.heiwatofu.com
Food Product,In Season Food Shop,,,,,https://www.shopinseason.com/
Food Product,Jay's Wicked,Barbecue and Hot Sauce,,,,http://www.jayswicked.com/
Food Product,Kakosi,Chocolate,,,,https://www.kakosichocolates.com/
Food Product,Kitchen Garden Farm,"organic vegetables, sriracha and salsas",01375,"131 South Silver Lane, Sunderland, MA 01375",(413) 387-5163,www.kitchengardenfarm.com
Food Product,"MOJO Cold Brewed Coffee, Inc. ","MOJO, a cold brewed coffee drink",01984,"168 Main Street, Wenham , MA 01984",(978) 270-3838,www.mojocoffees.com
Food Product,Ozioli's Italian Cookie Company,All Natural Italian Cookies & All Natural Sugar Free Cookies,02536,"24 Seaspray Drive, East Falmouth, MA 02536",(508) 801-4669,www.Ozioliscookies.com
Food Product,Real Pickles,Naturally fermented pickles and sauerkraut,01301,"311 Wells Street, Greenfield, MA 01301",(413) 774-2600,www.realpickles.com
Food Product,Seven Hills Pasta,"Pasta products, classes",02176,"1 Hurd Street, Melrose, MA 02176",,https://www.sevenhillspasta.com/
Food Product,Sugar Bob's Finest Kind,Sauces and Nuts,05701,"251 West Street, Rutland, VT 05701",(802) 297-7665,https://www.sugarbobsfinestkind.com/
Food Product,Sugar Coated Heaven,,,,,
Food Product,Sustainable Food Solutions Inc,Cricket products,,,,https://www.facebook.com/pg/Sustainable-Food-Solutions-206180773488904/posts/?ref=page_internal
Food Product,Tamim Teas,Mushroom Tea,,,,https://www.tamimteas.com/
Food Product,Tanuk Inc,All natural gourmet sauces,,,,https://www.mealmantra.com/
Food Product,Taza Chocolate,Chocolate,02143,"561 Windsor Street, Somerville, MA 02143",(617) 623-0804,https://www.tazachocolate.com/
Food Product,The Local Scoop,Ice cream,02653,"34 Cranberry Highway, Cape Cod, MA 02653",508-255-0101,https://www.thelocalscoopcapecod.com/
Food Product,Thistle's All Natural LLC,"Jarred Zucchini Salsas in Hot, Medium and Mild Flavors",,,(603) 370-9009,thistlesallnatural.com
Food Product - Beverage,Akinto Travel Water,Hydration water,,,,travelh2o.com
Food Product - Beverage,Happy Goats Farm,"Raw Goat Milk, Baby Goat Yoga, Herbal Tinctures",01746,"400 Norfolk St., Holliston , MA 01746",(617) 272-0170,www.happygoatsfarm.com
Food Product - Beverage,Our Family Farms,Bottled milk ,01302,"324 Wells St. P.O. Box 167, Greenfield , MA 01302",(413) 772-2332,www.OurFamilyFarms.com
Food Product - Beverage,Pricklee,Superfruit Water,,,,https://pricklee.com/
Fresh Food Producer,Cape Ann Fresh Foods,Community Supported Fishery,01930,"1 Blackburn Center, Gloucester, MA 01930",(978) 283-2504,www.capeannfreshcatch.org
Fresh Food Producer,Costa Fruit and Produce,,02129,"18 Bunker Hill, Industrial Park, Boston, MA 02129",(617) 241-8007,http://www.freshideas.com/index2.html
Fresh Food Producer,FreshBox Farms,fresh local produce,02054,"725 Main St, Millis, MA 02054",(508) 794-1449,www.freshboxfarms.com
Fresh Food Producer,Red Apple Farm,,01331,"455 Highland Ave, Phillipston, MA 01331",(800) 628-4851,http://redapplefarm.com/
Fresh Food Producer,Seaview Farm,"Grass-Fed Beef, Vegetables",01966,"38 south st, Rockport, MA 01966",(904) 753-0342,seaviewfarmrockport.com
Fresh Food Producer,Uprise Foods,"Organic, fair-trade produce",,,,https://www.uprisefoods.com/
Fresh Food Producer,Walker Farm at Whortleberry Hill,Grass-fed meat,01531,"1290 W Brookfield Rd, Braintree, MA 01531",(508) 317-2790,http://walkergrassfed.com/
Health Service,Longfellow Tennis & Healthclubs*,Health and Wellness,,,,https://longfellowhealthclubs.com/
Health Service,Massachusetts Health Connector,Health Insurance,02114,"133 Portland St, Boston, MA 02114",(877) 623-6765,https://www.mahealthconnector.org/business
Health Service,Nit Wits LLC,Lice Removal,02478,"161 Belmont Street, Belmont, MA 02478",(617) 816-9487,https://www.liceinfo.net/
Hotel/Housing,Hosteling International,Hostels,02116,"19 Stuart Street, Boston, MA 02116",(617) 536-9455,https://www.hiusa.org/hostels/massachusetts/boston/boston
Legal Service,"Morgan, Brown & Joy, LLP*",Legal ,02109,"200 State Street 11th Floor, Boston, MA 02109",(617) 523-6666,http://morganbrown.com/home/
Marketing,Good Egg Marketing,Marketing ,,,,https://goodeggmarketing.com/
Marketing,Green Crab R&D,Green Crab Marketing and R&D,,,,https://www.greencrab.org/
Marketing,Williams Agency,Marketing,,,(617) 395-7680,http://thewilliamsagency.net/
Restaurant/Cafe,Cambridge Common (Flying Toad Inc.),Restaurant,02138,"1667 Massachusetts Ave, Cambridge, MA 02138",617-547-1228,cambridgecommonrestaurant.com/
Restaurant/Cafe,Chrisopher's (Flying Toad Inc.),Restaurant,02140,"1920 Massachusetts Ave, Cambridge, MA 02140",(617) 876-9180,www.christopherscambridge.com
Restaurant/Cafe,El Recreo,Coffee,02132,"1876 Centre St, West Roxbury, MA 02132",,elrecreoestatecoffee.com
Restaurant/Cafe,Fresh Food Generation ,Catering/Food Truck - Latin American & Caribbean Food,02121,"196 Quincy Street, Dorchester, MA 02121",(617) 817-5001,www.freshfoodgeneration.com 
Restaurant/Cafe,Iterum Foods,Restaurants,,,315-396-6313,https://noodlesbyiterum.com/
Restaurant/Cafe,Jennifer Lee's Gourmet Bakery,allergen free bakery,02110,"100 Hanover Street, Boston, MA 02110",(978) 675-5116,https://www.jenniferleesshoppe.com/
Restaurant/Cafe,Koy,Korean Fusion Restaurant ,02109,"16 North Street, Boston, MA 02109",(857) 991-1483,www.koyboston.com
Restaurant/Cafe,Mei Mei,Restaurant,02215,"506 Park Drive, Boston, MA 02215",(857) 250-4959,https://www.meimeiboston.com/
Restaurant/Cafe,Row 34/Oyster Creek Bar,Restaurants,02215,"500 Commonwealth Ave, Boston, MA 02215",(617) 519-9273,www.row34.com
Restaurant/Cafe,Tasting Counter,Restaurant,02143,"14 Tyler Street, Somerville, MA 02143",(617) 299-6362,https://tastingcounter.com/
Restaurant/Cafe,TOAD (Flying Toad Inc.),Bar/Restaurant,02140,"1912 Massachusetts Ave., Cambridge, MA 02140",,https://toadcambridge.com/
